Epoch,class,precision,recall,fscore,support
2,0,0.1085,0.029000000000000005,0.043000000000000003,158.0
2,1,0.125,0.041999999999999996,0.061,117.0
2,2,0.3165000000000001,0.6095,0.4065,187.0
2,3,0.28300000000000003,0.40149999999999997,0.32299999999999995,178.0
2,Micro Avg,0.2955,0.2955,0.2955,640.0
2,Macro Avg,0.20850000000000005,0.27149999999999996,0.20749999999999996,640.0
2,weighted avg ,0.223,0.2955,0.2305,640.0
Epoch,class,precision,recall,fscore,support
3,0,0.13157894736842105,0.034473684210526316,0.0518421052631579,280.0
3,1,0.13157894736842105,0.05078947368421053,0.06736842105263158,230.0
3,2,0.3181578947368421,0.593421052631579,0.4055263157894737,361.0
3,3,0.2907894736842106,0.3949999999999999,0.32894736842105265,345.0
3,Micro Avg,0.3018421052631579,0.3018421052631579,0.3018421052631579,1216.0
3,Macro Avg,0.21736842105263157,0.2689473684210527,0.2123684210526316,1216.0
3,weighted avg ,0.23605263157894743,0.3018421052631579,0.24078947368421058,1216.0
Epoch,class,precision,recall,fscore,support
4,0,0.08928571428571429,0.023392857142857142,0.035178571428571434,408.0
4,1,0.17857142857142858,0.047142857142857146,0.0680357142857143,337.0
4,2,0.3132142857142857,0.5944642857142857,0.4033928571428572,536.0
4,3,0.2782142857142858,0.3651785714285713,0.3092857142857143,511.0
4,Micro Avg,0.29607142857142865,0.29607142857142865,0.29607142857142865,1792.0
4,Macro Avg,0.21464285714285714,0.25803571428571437,0.20339285714285718,1792.0
4,weighted avg ,0.23696428571428574,0.29607142857142865,0.23500000000000007,1792.0
Epoch,class,precision,recall,fscore,support
5,0,0.12162162162162163,0.030000000000000002,0.04621621621621623,536.0
5,1,0.17567567567567569,0.04851351351351352,0.06864864864864866,449.0
5,2,0.31594594594594594,0.5820270270270267,0.40243243243243243,721.0
5,3,0.28067567567567564,0.37540540540540523,0.31567567567567556,662.0
5,Micro Avg,0.2985135135135136,0.2985135135135136,0.2985135135135136,2368.0
5,Macro Avg,0.2232432432432433,0.25932432432432434,0.20783783783783785,2368.0
5,weighted avg ,0.24554054054054048,0.2985135135135136,0.2398648648648649,2368.0
Epoch,class,precision,recall,fscore,support
6,0,0.125,0.02880434782608696,0.04510869565217392,653.0
6,1,0.18293478260869564,0.0558695652173913,0.07532608695652175,559.0
6,2,0.31423913043478263,0.5716304347826086,0.3981521739130434,908.0
6,3,0.28391304347826074,0.37847826086956504,0.3180434782608695,824.0
6,Micro Avg,0.29847826086956525,0.29847826086956525,0.29847826086956525,2944.0
6,Macro Avg,0.22652173913043486,0.2591304347826087,0.2089130434782608,2944.0
6,weighted avg ,0.251086956521739,0.29847826086956525,0.24130434782608703,2944.0
Epoch,class,precision,recall,fscore,support
7,0,0.1159090909090909,0.026090909090909095,0.04100000000000001,775.0
7,1,0.1848181818181818,0.050363636363636353,0.06936363636363638,683.0
7,2,0.3230909090909091,0.5815454545454544,0.4075454545454545,1095.0
7,3,0.2795454545454544,0.37990909090909064,0.3161818181818181,967.0
7,Micro Avg,0.3015454545454546,0.3015454545454546,0.3015454545454546,3520.0
7,Macro Avg,0.22600000000000003,0.2598181818181819,0.20809090909090902,3520.0
7,weighted avg ,0.25609090909090904,0.3015454545454546,0.24336363636363637,3520.0
Epoch,class,precision,recall,fscore,support
8,0,0.11265625,0.026640625000000005,0.041093750000000005,900.0
8,1,0.205703125,0.05320312499999999,0.07539062500000002,796.0
8,2,0.31999999999999995,0.5830468749999996,0.40476562499999996,1266.0
8,3,0.28234374999999984,0.37781249999999983,0.316953125,1134.0
8,Micro Avg,0.30140625000000015,0.30140625000000015,0.30140625000000015,4096.0
8,Macro Avg,0.23023437500000002,0.26046875,0.2092968749999999,4096.0
8,weighted avg ,0.2590624999999999,0.30140625000000015,0.24374999999999997,4096.0
Epoch,class,precision,recall,fscore,support
9,0,0.11472602739726027,0.02910958904109589,0.04376712328767124,1020.0
9,1,0.2145890410958904,0.0534931506849315,0.07712328767123289,907.0
9,2,0.3256164383561643,0.5902054794520544,0.4115753424657534,1449.0
9,3,0.28438356164383555,0.38191780821917803,0.3198630136986302,1296.0
9,Micro Avg,0.30671232876712345,0.30671232876712345,0.30671232876712345,4672.0
9,Macro Avg,0.23493150684931505,0.26390410958904115,0.212945205479452,4672.0
9,weighted avg ,0.2645890410958903,0.30671232876712345,0.24842465753424656,4672.0
Epoch,class,precision,recall,fscore,support
10,0,0.10518292682926829,0.02658536585365854,0.0400609756097561,1134.0
10,1,0.214390243902439,0.05426829268292682,0.0776829268292683,1018.0
10,2,0.3324390243902438,0.5948170731707313,0.4184756097560977,1643.0
10,3,0.2862804878048779,0.3857926829268292,0.32176829268292684,1453.0
10,Micro Avg,0.31006097560975643,0.31006097560975643,0.31006097560975643,5248.0
10,Macro Avg,0.23463414634146343,0.26554878048780495,0.214390243902439,5248.0
10,weighted avg ,0.2670121951219511,0.31006097560975643,0.2515853658536585,5248.0
Epoch,class,precision,recall,fscore,support
11,0,0.11401098901098901,0.027362637362637363,0.0417032967032967,1244.0
11,1,0.21516483516483514,0.052032967032967024,0.07554945054945056,1130.0
11,2,0.33280219780219766,0.5970879120879117,0.4192307692307695,1826.0
11,3,0.2899450549450549,0.38873626373626363,0.32450549450549454,1624.0
11,Micro Avg,0.311538461538462,0.311538461538462,0.311538461538462,5824.0
11,Macro Avg,0.23813186813186815,0.26642857142857146,0.2151098901098901,5824.0
11,weighted avg ,0.2706593406593405,0.311538461538462,0.2532417582417582,5824.0
Epoch,class,precision,recall,fscore,support
